#################### ###################################################################################################################################################
### Graball v1.0 ### ###################################################################################################################################################
#################### ###################################################################################################################################################

System component loaded: Graball.Output.Console v1.0
System component loaded: Graball.Output.File v1.0
System component loaded: Graball.Input.CommandLine v1.0
System component loaded: Graball.Input.Console v1.0
System component loaded: Graball.Input.File v1.0
System component loaded: Graball.Module.Domains v1.0

Available modules:
 1) Internet domains

Choose or input blank to exit: 1) Internet domains

Operations:
 1) Local database
 2) Domain Availability
 3) Consult WHOIS
 4) Consult WHOIS with Dictionary
 5) Consult WHOIS with Brute Force
 6) Services on the Internet

Choose or input blank to exit: 2) Domain Availability

Enter a domain name to verify:
> drone

To pause use [P], to stop use [ESC].

 Updated         | Status         | Domain Name
 2022-06-24      | Available      | drone.no
 2022-06-24      | Available      | drone.no.com
 2022-06-24      | Available      | drone.nu
 2022-06-24      | Available      | drone.nz
 2022-06-24      | Available      | drone.om
 2022-06-24      | Registered     | drone.ong
 2022-06-24      | Registered     | drone.ooo
 2022-06-24      | Registered     | drone.org
 2022-06-24      | Available      | drone.paris
 2022-06-24      | Registered     | drone.pe
 2022-06-24      | Available      | drone.pf
 2022-06-24      | Registered     | drone.pics
 2022-06-24      | Registered     | drone.pl
 2022-06-24      | Available      | drone.pm
 2022-06-24      | Available      | drone.pr
 2022-06-24      | Available      | drone.press
 2022-06-24      | Registered     | drone.pro
 2022-06-24      | Available      | drone.pt
 2022-06-24      | Available      | drone.pub
 2022-06-24      | Registered     | drone.pw
 2022-06-24      | Registered     | drone.qa
 2022-06-24      | Available      | drone.re
 2022-06-24      | Registered     | drone.ro
 2022-06-24      | Registered     | drone.rs
 2022-06-24      | Available      | drone.ru
 2022-06-24      | Available      | drone.sa
 2022-06-24      | Registered     | drone.sa.com
 2022-06-24      | Registered     | drone.sb
 2022-06-24      | Available      | drone.sc
 2022-06-24      | Available      | drone.se
 2022-06-24      | Available      | drone.se.com
 2022-06-24      | Available      | drone.se.net
 2022-06-24      | Available      | drone.sg
 2022-06-24      | Registered     | drone.sh
 2022-06-24      | Available      | drone.si
 2022-06-24      | Available      | drone.sk
 2022-06-24      | Available      | drone.sm
 2022-06-24      | Registered     | drone.st
 2022-06-24      | Registered     | drone.so
 2022-06-24      | Available      | drone.su
 2022-06-24      | Registered     | drone.sx
 2022-06-24      | Registered     | drone.sy
 2022-06-24      | Available      | drone.tc
 2022-06-24      | Registered     | drone.tel
